gen 01 12:25:00|5[info]01/01/2015 12:25:00 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:26:14|5[info]01/01/2015 12:26:14 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:26:16|5[info]01/01/2015 12:26:16 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:26:18|5[info]01/01/2015 12:26:18 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:27:11|5[info]01/01/2015 12:27:11 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:27:17|5[info]01/01/2015 12:27:17 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:27:36|5[info]01/01/2015 12:27:36 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:28:02|5[info]01/01/2015 12:28:02 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:28:40|5[info]01/01/2015 12:28:40 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:28:44|5[info]01/01/2015 12:28:44 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:28:46|5[info]01/01/2015 12:28:46 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:28:50|5[info]01/01/2015 12:28:50 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:28:53|5[info]01/01/2015 12:28:53 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
gen 01 12:29:10|5[info]01/01/2015 12:29:10 - [UTENTE = alberto][REMOTE IP = 79.20.197.195][act = CheckoutShopping][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
